sample,dice_score,label_sum,prediction_sum
PETCT_9aa97cf103_07-18-2004-NA-PET-CT Ganzkoerper  primaer mit KM-81345.nii.gz,0.4093364773303883,24110.0,9393
PETCT_098c4b7b87_08-31-2003-NA-PET-CT Ganzkoerper nativ-71743.nii.gz,1.0,0.0,0
PETCT_402c061122_08-25-2003-NA-PET-CT Ganzkoerper nativ-22953.nii.gz,1.0,0.0,0
PETCT_9a66a81ad1_10-31-2004-NA-PET-CT Ganzkoerper nativ-04122.nii.gz,1.0,0.0,0
PETCT_fc0389a486_05-30-2005-NA-PET-CT Ganzkoerper  primaer mit KM-25868.nii.gz,1.0,0.0,0
PETCT_81debf13a1_03-09-2006-NA-PET-CT Ganzkoerper  primaer mit KM-10303.nii.gz,1.0,0.0,0
PETCT_30e2b83b74_04-26-2003-NA-PET-CT Ganzkoerper  primaer mit KM-85741.nii.gz,1.0,0.0,0
PETCT_f4668d2bdc_09-04-2000-NA-PET-CT Ganzkoerper  primaer mit KM-84583.nii.gz,0.8655608398097668,3874.0,4747
PETCT_448225c237_01-16-2006-NA-PET-CT Ganzkoerper  primaer mit KM-96439.nii.gz,1.0,0.0,0
PETCT_f603eeceba_03-17-2003-NA-PET-CT Ganzkoerper  primaer mit KM-29929.nii.gz,1.0,0.0,0
PETCT_de118d7ab9_06-02-2001-NA-PET-CT Ganzkoerper  primaer mit KM-18077.nii.gz,0.0,1769.0,0
PETCT_119165872d_02-12-2005-NA-PET-CT Ganzkoerper  primaer mit KM-05102.nii.gz,0.09629272989889263,1944.0,133
PETCT_90d668ed29_06-07-2003-NA-PET-CT Ganzkoerper  primaer mit KM-12980.nii.gz,1.0,0.0,0
PETCT_b899150306_08-11-2002-NA-PET-CT Ganzkoerper  primaer mit KM-26543.nii.gz,0.0,10764.0,0
PETCT_30e2b83b74_07-21-2003-NA-PET-CT Ganzkoerper nativ-81120.nii.gz,1.0,0.0,0
PETCT_b509ace2a2_05-27-2002-NA-PET-CT Ganzkoerper  primaer mit KM-84477.nii.gz,0.2229312617049317,12174.0,2243
PETCT_fde79b6aa9_08-16-2003-NA-PET-CT Ganzkoerper  primaer mit KM-88178.nii.gz,1.0,0.0,0
PETCT_6f46454a8d_09-07-2003-NA-PET-CT Ganzkoerper  primaer mit KM-17255.nii.gz,1.0,0.0,0
PETCT_9f491f1481_02-12-2006-NA-PET-CT Ganzkoerper  primaer mit KM-19458.nii.gz,1.0,0.0,0
PETCT_3c3050f75e_09-05-2002-NA-PET-CT Ganzkoerper  primaer mit KM-31873.nii.gz,0.0,205.0,0
PETCT_d0ea6c975f_10-11-2002-NA-PET-CT Ganzkoerper  primaer mit KM-09558.nii.gz,1.0,0.0,0
PETCT_6c469107a0_06-23-2002-NA-PET-CT Ganzkoerper  primaer mit KM-84161.nii.gz,0.39880844917855207,24114.0,9120
PETCT_a1db71e797_03-25-2005-NA-PET-CT Ganzkoerper  primaer mit KM-62987.nii.gz,0.0,869.0,0
PETCT_f9e0c504af_06-29-2003-NA-PET-CT Ganzkoerper  primaer mit KM-14170.nii.gz,0.7273381294964029,1586.0,1194
PETCT_7948aa0e26_08-10-2001-NA-PET-CT Ganzkoerper  primaer mit KM-23662.nii.gz,0.48466751978766764,15450.0,5649
PETCT_7785c10e91_12-15-2006-NA-PET-CT Ganzkoerper  primaer mit KM-36884.nii.gz,0.0,338.0,0
PETCT_8de6953d23_01-19-2001-NA-PET-CT Ganzkoerper  primaer mit KM-85501.nii.gz,0.4883651482783176,25647.0,17886
PETCT_ebb0045704_09-27-2002-NA-Unspecified CT-08213.nii.gz,0.0,7977.0,0
PETCT_855c7fca12_07-27-2006-NA-PET-CT Ganzkoerper  primaer mit KM-14836.nii.gz,1.0,0.0,0
PETCT_a2676f03c0_05-09-2003-NA-PET-CT Ganzkoerper  primaer mit KM-90793.nii.gz,1.0,0.0,0
PETCT_f15b868db6_02-03-2006-NA-PET-CT Ganzkoerper  primaer mit KM-17521.nii.gz,1.0,0.0,0
PETCT_1e43e3d692_09-19-2002-NA-PET-CT Ganzkoerper  primaer mit KM-73301.nii.gz,1.0,0.0,0
PETCT_9a83943958_08-03-2003-NA-PET-CT Ganzkoerper  primaer mit KM-73758.nii.gz,1.0,0.0,0
PETCT_65a1330e90_06-16-2001-NA-PET-CT Ganzkoerper  primaer mit KM-34748.nii.gz,0.6808973487423522,8530.0,6180
PETCT_75d1080946_07-28-2003-NA-PET-CT Ganzkoerper  primaer mit KM-72389.nii.gz,1.0,0.0,0
PETCT_c58477f3b4_12-07-2002-NA-PET-CT Ganzkoerper  primaer mit KM-71683.nii.gz,0.0,2331.0,0
PETCT_bd7c02faa9_05-04-2002-NA-PET-CT Ganzkoerper  primaer mit KM-25841.nii.gz,0.5567880395466602,10937.0,5651
PETCT_a82f03863a_03-19-2007-NA-PET-CT Ganzkoerper  primaer mit KM-75117.nii.gz,0.5075929005698083,24852.0,11827
PETCT_0beb67c923_07-25-1999-NA-PET-CT Ganzkoerper  primaer mit KM-37911.nii.gz,0.8075994335622549,57385.0,64782
PETCT_3b14690fce_09-07-2002-NA-PET-CT Ganzkoerper  primaer mit KM-38312.nii.gz,1.0,0.0,0
PETCT_ce629e2993_01-13-2005-NA-PET-CT Ganzkoerper  primaer mit KM-38727.nii.gz,1.0,0.0,0
PETCT_ae4dcc5dd3_10-08-2004-NA-PET-CT Teilkoerper  primaer mit KM-60181.nii.gz,1.0,0.0,0
PETCT_ab1fa26e5e_06-23-2001-NA-PET-CT Ganzkoerper  primaer mit KM-50764.nii.gz,0.5777881547202117,7914.0,4935
PETCT_3481507253_06-17-2007-NA-PET-CT Ganzkoerper  primaer mit KM-41462.nii.gz,1.0,0.0,0
PETCT_c32e1daf9b_02-02-2003-NA-PET-CT Ganzkoerper  primaer mit KM-73090.nii.gz,1.0,0.0,0
PETCT_c2ffda4725_09-19-2003-NA-PET-CT Teilkoerper  primaer mit KM-27018.nii.gz,1.0,0.0,0
PETCT_88bcc970b3_02-28-2002-NA-PET-CT Ganzkoerper  primaer mit KM-41395.nii.gz,0.5650774128201418,38271.0,17017
PETCT_6d6a193655_11-17-2002-NA-PET-CT Ganzkoerper  primaer mit KM-45963.nii.gz,0.8196475872394334,9190.0,8176
PETCT_e61c9da258_12-13-2002-NA-PET-CT Ganzkoerper  primaer mit KM-78457.nii.gz,0.0,12281.0,0
PETCT_dac5cd2a4d_12-02-2001-NA-PET-CT Ganzkoerper  primaer mit KM-27614.nii.gz,0.5201158673962021,23115.0,14169
PETCT_d3d61785e6_10-19-2001-NA-PET-CT Ganzkoerper  primaer mit KM-35929.nii.gz,0.6985535197685632,20045.0,16250
PETCT_d6b2218bf3_12-18-2004-NA-PET-CT Ganzkoerper  primaer mit KM-87440.nii.gz,1.0,0.0,0
PETCT_4a72eeb991_12-23-2005-NA-PET-CT Ganzkoerper  primaer mit KM-76289.nii.gz,1.0,0.0,0
PETCT_1253499c80_10-07-2005-NA-PET-CT Ganzkoerper  primaer mit KM-50242.nii.gz,0.8241845664280032,3467.0,2818
PETCT_e1a5b05186_02-27-2005-NA-PET-CT Ganzkoerper  primaer mit KM-36173.nii.gz,1.0,0.0,0
PETCT_89065bc4ab_02-20-2004-NA-PET-CT Ganzkoerper  primaer mit KM-11843.nii.gz,0.0,200.0,0
PETCT_0e9a98ecda_02-20-2003-NA-PET-CT Ganzkoerper  primaer mit KM-36915.nii.gz,1.0,0.0,0
PETCT_ca5406d339_12-09-2004-NA-PET-CT Teilkoerper  primaer mit KM-57041.nii.gz,1.0,0.0,0
PETCT_e5e1918765_07-24-2003-NA-PET-CT Ganzkoerper  primaer mit KM-69923.nii.gz,1.0,0.0,0
PETCT_41472f5ce9_03-16-2003-NA-PET-CT Ganzkoerper  primaer mit KM-95962.nii.gz,0.3415877640203933,19003.0,5711
PETCT_527c5afc5d_07-18-2003-NA-PET-CT Ganzkoerper  primaer mit KM-02474.nii.gz,0.44958585905325993,16158.0,5453
PETCT_47cd731006_01-25-2002-NA-PET-CT Ganzkoerper  primaer mit KM-31216.nii.gz,0.21736350850274902,13634.0,2008
